"WijkenEnBuurten","Gemeentenaam_1"
"BU00342204","Almere                                  "
"BU00342205","Almere                                  "
"BU00342206","Almere                                  "
"WK003423  ","Almere                                  "
"BU00342301","Almere                                  "
"BU00342302","Almere                                  "
"BU00342303","Almere                                  "
"BU00342304","Almere                                  "
"WK003424  ","Almere                                  "
"BU00342401","Almere                                  "
"BU00342402","Almere                                  "
"BU00342403","Almere                                  "
"BU00342404","Almere                                  "
"BU00342405","Almere                                  "
"BU00342406","Almere                                  "
"BU00342407","Almere                                  "
"BU00342408","Almere                                  "
"WK003425  ","Almere                                  "
"BU00342501","Almere                                  "
"BU00342502","Almere                                  "
"BU00342503","Almere                                  "
"WK003426  ","Almere                                  "
"BU00342601","Almere                                  "
"BU00342602","Almere                                  "
"BU00342603","Almere                                  "
"BU00342604","Almere                                  "
"BU00342605","Almere                                  "
"BU00342606","Almere                                  "
"BU00342607","Almere                                  "
"BU00342608","Almere                                  "
"BU00342609","Almere                                  "
"WK003427  ","Almere                                  "
"BU00342701","Almere                                  "
"BU00342702","Almere                                  "
"BU00342703","Almere                                  "
"BU00342704","Almere                                  "
"BU00342705","Almere                                  "
"BU00342706","Almere                                  "
"BU00342707","Almere                                  "
"BU00342708","Almere                                  "
"WK003428  ","Almere                                  "
"BU00342801","Almere                                  "
"BU00342802","Almere                                  "
"BU00342803","Almere                                  "
"BU00342804","Almere                                  "
"BU00342805","Almere                                  "
"BU00342806","Almere                                  "
"BU00342807","Almere                                  "
"BU00342808","Almere                                  "
"BU00342809","Almere                                  "
"BU00342810","Almere                                  "
"WK003429  ","Almere                                  "
"BU00342901","Almere                                  "
"BU00342902","Almere                                  "
"BU00342903","Almere                                  "
"BU00342904","Almere                                  "
"WK003430  ","Almere                                  "
"BU00343001","Almere                                  "
"BU00343002","Almere                                  "
"BU00343003","Almere                                  "
"BU00343004","Almere                                  "
"BU00343005","Almere                                  "
"BU00343006","Almere                                  "
"BU00343007","Almere                                  "
"WK003431  ","Almere                                  "
"BU00343101","Almere                                  "
"BU00343102","Almere                                  "
"BU00343103","Almere                                  "
"BU00343104","Almere                                  "
"BU00343105","Almere                                  "
"WK003432  ","Almere                                  "
"BU00343201","Almere                                  "
"WK003434  ","Almere                                  "
"BU00343401","Almere                                  "
"BU00343402","Almere                                  "
"BU00343403","Almere                                  "
"WK003435  ","Almere                                  "
"BU00343501","Almere                                  "
"BU00343502","Almere                                  "
"WK003436  ","Almere                                  "
"BU00343601","Almere                                  "
"WK003437  ","Almere                                  "
"BU00343701","Almere                                  "
"BU00343702","Almere                                  "
"WK003438  ","Almere                                  "
"BU00343801","Almere                                  "
"BU00343802","Almere                                  "
"WK003439  ","Almere                                  "
"BU00343901","Almere                                  "
"BU00343902","Almere                                  "
"BU00343903","Almere                                  "
"WK003440  ","Almere                                  "
"BU00344001","Almere                                  "
"BU00344002","Almere                                  "
"BU00344003","Almere                                  "
"WK003441  ","Almere                                  "
"BU00344101","Almere                                  "
"BU00344102","Almere                                  "
"WK003442  ","Almere                                  "
"BU00344201","Almere                                  "
"BU00344202","Almere                                  "
"BU00344203","Almere                                  "
"BU00344204","Almere                                  "
"WK003443  ","Almere                                  "
"BU00344301","Almere                                  "
"BU00344302","Almere                                  "
"BU00344303","Almere                                  "
"BU00344304","Almere                                  "
"WK003444  ","Almere                                  "
"BU00344401","Almere                                  "
"BU00344402","Almere                                  "
"BU00344403","Almere                                  "
"WK003445  ","Almere                                  "
"BU00344501","Almere                                  "
"BU00344502","Almere                                  "
"BU00344503","Almere                                  "
"BU00344504","Almere                                  "
"BU00344505","Almere                                  "
"WK003446  ","Almere                                  "
"BU00344601","Almere                                  "
"BU00344602","Almere                                  "
"BU00344603","Almere                                  "
"WK003447  ","Almere                                  "
"BU00344701","Almere                                  "
"BU00344702","Almere                                  "
"BU00344703","Almere                                  "
"BU00344704","Almere                                  "
"WK003448  ","Almere                                  "
"BU00344801","Almere                                  "
"BU00344802","Almere                                  "
"BU00344803","Almere                                  "
"BU00344804","Almere                                  "
"WK003449  ","Almere                                  "
"BU00344901","Almere                                  "
"BU00344902","Almere                                  "
"BU00344903","Almere                                  "
"BU00344904","Almere                                  "
"WK003450  ","Almere                                  "
"BU00345001","Almere                                  "
"BU00345002","Almere                                  "
"WK003451  ","Almere                                  "
"BU00345101","Almere                                  "
"BU00345102","Almere                                  "
"BU00345103","Almere                                  "
"BU00345104","Almere                                  "
"BU00345105","Almere                                  "
"WK003452  ","Almere                                  "
"BU00345201","Almere                                  "
"BU00345202","Almere                                  "
"BU00345203","Almere                                  "
"BU00345204","Almere                                  "
"BU00345205","Almere                                  "
"BU00345206","Almere                                  "
"BU00345207","Almere                                  "
"WK003453  ","Almere                                  "
"BU00345301","Almere                                  "
"BU00345302","Almere                                  "
"WK003456  ","Almere                                  "
"BU00345601","Almere                                  "
"BU00345602","Almere                                  "
"WK003457  ","Almere                                  "
"BU00345701","Almere                                  "
"BU00345702","Almere                                  "
"WK003458  ","Almere                                  "
"BU00345801","Almere                                  "
"WK003459  ","Almere                                  "
"BU00345901","Almere                                  "
"BU00345902","Almere                                  "
"WK003460  ","Almere                                  "
"BU00346001","Almere                                  "
"WK003461  ","Almere                                  "
"BU00346101","Almere                                  "
"BU00346102","Almere                                  "
"BU00346103","Almere                                  "
"WK003462  ","Almere                                  "
"BU00346201","Almere                                  "
"BU00346202","Almere                                  "
"WK003463  ","Almere                                  "
"BU00346301","Almere                                  "
"BU00346302","Almere                                  "
"BU00346303","Almere                                  "
"BU00346304","Almere                                  "
"WK003464  ","Almere                                  "
"BU00346401","Almere                                  "
"WK003465  ","Almere                                  "
"BU00346501","Almere                                  "
"WK003466  ","Almere                                  "
"BU00346601","Almere                                  "
"BU00346602","Almere                                  "
"WK003471  ","Almere                                  "
"BU00347101","Almere                                  "
"WK003472  ","Almere                                  "
"BU00347201","Almere                                  "
"WK003473  ","Almere                                  "
"BU00347301","Almere                                  "
"WK003474  ","Almere                                  "
"BU00347401","Almere                                  "
"BU00347402","Almere                                  "
"WK003475  ","Almere                                  "
"BU00347501","Almere                                  "
"BU00347502","Almere                                  "
"BU00347503","Almere                                  "
"BU00347504","Almere                                  "
"WK003476  ","Almere                                  "
"BU00347601","Almere                                  "
"BU00347602","Almere                                  "
"BU00347603","Almere                                  "
"BU00347604","Almere                                  "
"WK003477  ","Almere                                  "
"BU00347701","Almere                                  "
"BU00347702","Almere                                  "
"BU00347703","Almere                                  "
"WK003479  ","Almere                                  "
"BU00347901","Almere                                  "
"WK003485  ","Almere                                  "
"BU00348501","Almere                                  "
"BU00348502","Almere                                  "
"WK003496  ","Almere                                  "
"BU00349615","Almere                                  "
"GM0484    ","Alphen aan den Rijn                     "
"WK048401  ","Alphen aan den Rijn                     "
"BU04840101","Alphen aan den Rijn                     "
"BU04840102","Alphen aan den Rijn                     "
"BU04840103","Alphen aan den Rijn                     "
"BU04840104","Alphen aan den Rijn                     "
"BU04840105","Alphen aan den Rijn                     "
"BU04840106","Alphen aan den Rijn                     "
"BU04840107","Alphen aan den Rijn                     "
"BU04840108","Alphen aan den Rijn                     "
"BU04840109","Alphen aan den Rijn                     "
"BU04840110","Alphen aan den Rijn                     "
"BU04840111","Alphen aan den Rijn                     "
"WK048402  ","Alphen aan den Rijn                     "
"BU04840201","Alphen aan den Rijn                     "
"BU04840202","Alphen aan den Rijn                     "
"BU04840203","Alphen aan den Rijn                     "
"BU04840204","Alphen aan den Rijn                     "
"BU04840205","Alphen aan den Rijn                     "
"BU04840206","Alphen aan den Rijn                     "
"BU04840207","Alphen aan den Rijn                     "
"BU04840208","Alphen aan den Rijn                     "
"BU04840209","Alphen aan den Rijn                     "
